year,prop_10,prop_20,prop_30,prop_40,prop_50,prop_60,prop_70,prop_80,prop_90,prop_100,prop_110,prop_120,prop_130
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-0.006473786407766971,-0.005703883495145623,-0.013280582524271787,-0.012075728155339829,-0.013641747572815475,-0.016636893203883465,-0.020183495145631006,-0.020996116504854313,-0.016824271844660125,-0.017130097087378608,-0.02193495145631072,-0.01977475728155336,-0.01956601941747568
2022,-0.006427211702234255,-0.012063921450756448,-0.01579601242360486,-0.017184650836589533,-0.02073639915840104,-0.03023644925358178,-0.03200881675182843,-0.03423404468490124,-0.03593227131549941,-0.038673479611261385,-0.04601943693016734,-0.0477908025247972,-0.05058811742310393
2023,-0.008081502771504762,-0.014425169369739222,-0.019987682200780118,-0.02544241428864702,-0.031520221720385926,-0.037913159515499846,-0.0428895504003284,-0.04783719975364396,-0.05124204475467048,-0.056202011907205876,-0.06293984808047624,-0.06497331143502347,-0.07211866146581804
2024,-0.006346604215456674,-0.016193314881839477,-0.02467319565680222,-0.03207579305939968,-0.040217159889291115,-0.04908984458164786,-0.05475196934213334,-0.06115499254843517,-0.06751224185650419,-0.07432723014690226,-0.08105279965935706,-0.08520438577815627,-0.09205876091121992
2025,-0.01028326745718049,-0.022364953886692955,-0.03278875713658319,-0.04204655248133509,-0.05202349582784363,-0.06241545893719805,-0.0708596837944664,-0.07925450153711017,-0.08787439613526571,-0.0947979797979797,-0.10149319279754061,-0.10650527009222657,-0.11282828282828283
2026,-0.010278648554510718,-0.023809357947289042,-0.03691628933008253,-0.04827237896203414,-0.06094392197840483,-0.07273539997677933,-0.08162196679438065,-0.09032276790897491,-0.09795773830256589,-0.10368977127597823,-0.1117299431092535,-0.11735748287472428,-0.12382561244630214
2027,-0.011777273812365742,-0.025920267366913406,-0.04105514442587733,-0.05436142277393175,-0.06850322272618771,-0.0802769157316782,-0.08980663642874198,-0.09865242301265224,-0.10694437813320608,-0.11380639770828367,-0.12136786822630703,-0.12667223681069478,-0.1323860109811411
2028,-0.012074422054642113,-0.02702559030782554,-0.04336629991346283,-0.05825194708863899,-0.07227345778217335,-0.08403016442081837,-0.09549140808505391,-0.10392755594016576,-0.11227222153541859,-0.11994931388305115,-0.12640623068364454,-0.13195574236617638,-0.13697366794412172
2029,-0.013409268419682431,-0.02897552720645673,-0.04522390002603495,-0.06115464722728463,-0.0747292371778183,-0.08676256183285608,-0.09878547253319453,-0.1072910700338454,-0.11516532153085139,-0.1222546211923979,-0.1283728195782349,-0.13207888570684725,-0.13725592293673533
2030,-0.015378798295063896,-0.03061047710710846,-0.0459439021036711,-0.061926302763646295,-0.07644300838718548,-0.08897153856730362,-0.10072734772446033,-0.10974288464182587,-0.12005637288601675,-0.12698061322700396,-0.1345758284064347,-0.13943077134607454,-0.14483431871304825
2031,-0.014489677231753402,-0.030475428903751003,-0.04604536202384409,-0.06164582727537069,-0.07751090433265478,-0.09078365804012795,-0.10350683338179699,-0.11457255015993015,-0.12377871474265771,-0.13120383832509447,-0.13805612096539688,-0.14364204710671702,-0.1486158767083454
2032,-0.015175491679273763,-0.03216187594553705,-0.04917246596066558,-0.06493040847201204,-0.08081694402420568,-0.09288653555219356,-0.1054916792738275,-0.11418154311649008,-0.12441754916792729,-0.13052798789712552,-0.13671860816944018,-0.1414901664145234,-0.14652496217851735
2033,-0.014863621947351722,-0.032223279416428774,-0.04926577862353314,-0.06551379638439578,-0.08104027909927053,-0.09402315255312396,-0.10706787186806217,-0.1160878528385664,-0.12503330161750711,-0.13178877259752614,-0.1374548049476689,-0.14248017760862663,-0.14695052331113223
2034,-0.014638092061374319,-0.03162108072048041,-0.04892261507671784,-0.06642595063375589,-0.08263842561707811,-0.0962458305537025,-0.10906604402935295,-0.11928785857238162,-0.128415610406938,-0.13578385590393602,-0.14289026017344905,-0.1472048032021349,-0.15118912608405607
2035,-0.016866419294990803,-0.03373098330241189,-0.05207235621521338,-0.06792949907235625,-0.08353617810760663,-0.09760296846011135,-0.11068460111317256,-0.1204730983302412,-0.12862523191094624,-0.1355621521335807,-0.1406641929499073,-0.14652690166975885,-0.14940074211502782
