year,prop_10,prop_20,prop_30,prop_40,prop_50,prop_60,prop_70,prop_80,prop_90,prop_100,prop_110,prop_120,prop_130
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,-0.647378640776697,-0.5703883495145623,-1.3280582524271787,-1.2075728155339829,-1.3641747572815475,-1.6636893203883465,-2.0183495145631007,-2.099611650485431,-1.6824271844660126,-1.7130097087378608,-2.193495145631072,-1.9774757281553361,-1.956601941747568
2022,-0.6427211702234255,-1.2063921450756447,-1.5796012423604862,-1.7184650836589532,-2.073639915840104,-3.023644925358178,-3.200881675182843,-3.4234044684901237,-3.5932271315499413,-3.8673479611261383,-4.601943693016734,-4.77908025247972,-5.058811742310393
2023,-0.8081502771504762,-1.4425169369739221,-1.9987682200780117,-2.544241428864702,-3.1520221720385924,-3.7913159515499846,-4.28895504003284,-4.783719975364396,-5.124204475467048,-5.6202011907205875,-6.293984808047624,-6.497331143502347,-7.211866146581804
2024,-0.6346604215456674,-1.6193314881839478,-2.467319565680222,-3.207579305939968,-4.021715988929111,-4.908984458164786,-5.475196934213334,-6.115499254843517,-6.751224185650419,-7.432723014690226,-8.105279965935706,-8.520438577815627,-9.205876091121992
2025,-1.028326745718049,-2.2364953886692955,-3.2788757136583193,-4.204655248133509,-5.202349582784363,-6.241545893719805,-7.085968379446641,-7.925450153711017,-8.78743961352657,-9.47979797979797,-10.149319279754062,-10.650527009222657,-11.282828282828284
2026,-1.0278648554510719,-2.380935794728904,-3.691628933008253,-4.827237896203414,-6.094392197840483,-7.273539997677933,-8.162196679438065,-9.032276790897491,-9.79577383025659,-10.368977127597823,-11.172994310925349,-11.735748287472427,-12.382561244630214
2027,-1.1777273812365743,-2.5920267366913405,-4.105514442587733,-5.436142277393175,-6.850322272618771,-8.02769157316782,-8.980663642874198,-9.865242301265225,-10.694437813320608,-11.380639770828367,-12.136786822630704,-12.667223681069478,-13.238601098114112
2028,-1.2074422054642113,-2.702559030782554,-4.336629991346283,-5.825194708863899,-7.227345778217336,-8.403016442081837,-9.54914080850539,-10.392755594016576,-11.22722215354186,-11.994931388305115,-12.640623068364453,-13.195574236617638,-13.697366794412172
2029,-1.3409268419682432,-2.897552720645673,-4.522390002603495,-6.115464722728463,-7.47292371778183,-8.676256183285608,-9.878547253319454,-10.72910700338454,-11.516532153085139,-12.22546211923979,-12.83728195782349,-13.207888570684725,-13.725592293673532
2030,-1.5378798295063896,-3.061047710710846,-4.59439021036711,-6.192630276364629,-7.644300838718548,-8.897153856730363,-10.072734772446033,-10.974288464182587,-12.005637288601676,-12.698061322700397,-13.45758284064347,-13.943077134607455,-14.483431871304825
2031,-1.4489677231753402,-3.0475428903751003,-4.604536202384409,-6.164582727537069,-7.751090433265478,-9.078365804012794,-10.3506833381797,-11.457255015993015,-12.37787147426577,-13.120383832509447,-13.805612096539688,-14.364204710671702,-14.861587670834538
2032,-1.5175491679273763,-3.216187594553705,-4.917246596066558,-6.493040847201204,-8.081694402420569,-9.288653555219357,-10.549167927382749,-11.418154311649008,-12.441754916792728,-13.052798789712552,-13.671860816944017,-14.149016641452338,-14.652496217851734
2033,-1.4863621947351722,-3.2223279416428774,-4.926577862353314,-6.5513796384395775,-8.104027909927053,-9.402315255312397,-10.706787186806217,-11.60878528385664,-12.50333016175071,-13.178877259752614,-13.74548049476689,-14.248017760862663,-14.695052331113223
2034,-1.463809206137432,-3.162108072048041,-4.892261507671784,-6.642595063375589,-8.263842561707811,-9.62458305537025,-10.906604402935296,-11.928785857238163,-12.841561040693799,-13.578385590393601,-14.289026017344906,-14.720480320213488,-15.118912608405607
2035,-1.6866419294990802,-3.373098330241189,-5.207235621521338,-6.792949907235625,-8.353617810760664,-9.760296846011135,-11.068460111317256,-12.04730983302412,-12.862523191094624,-13.556215213358069,-14.066419294990732,-14.652690166975885,-14.940074211502782
